_id,Name,Legal Name,Start Date,Street Number,Street Name,ZIP Code,Lat,Lon,Category
1,Adrian's Pizza,,11/7/2014,605,Thompson Run Rd,15237,40.5394650,-79.9907640,Take Out
2,Adrian's Pizza Express,Rock Enterprises Inc,4/22/2004,7824,Perry Hwy,15237,40.5512190,-80.0373620,Take Out
3,Allegheny Sandwich Shop,,2/24/1997,414,Grant St,15219,40.4381100,-79.9968600,NO Dollar Menu
4,Allegheny Sandwich Shoppe #3,Allegheny Sandwich Shoppe Inc,11/9/2001,440,Ross St,15219,40.4385140,-79.9953300,NO Dollar Menu
5,Amili's Pizzeria,,2/26/1999,1021,Brownsville Rd,15210,40.4060820,-79.9918630,Take Out
6,Angelia's Pizza,JNG Pizza LLC,5/11/2004,202,Moon Clinton Rd,15108,40.5131350,-80.2234060,Take Out
7,Angelia's Pizza / Chill Frozen Dessserts,Eaton Pizza Inc,10/7/2005,410,Penn Lincoln Dr,15126,40.4424660,-80.2359920,Take Out
8,Antney's Ice Cream,The Iceman Inc,4/11/2002,1316,Poplar St,15205,40.4274700,-80.0524350,"Breakfast, Drink, Other"
9,Arby's,Kinco Inc,1/1/1975,1617,Freeport Rd,15065,40.6221250,-79.7275160,Dollar Menu
10,Arby's #8,Linell Corporation,12/3/2007,3974,Wm Penn Hwy,15146,40.4379880,-79.7728450,Dollar Menu
11,Arby's #42,ARG Co.,7/10/1997,1378,Banksville Rd,15216,40.4146840,-80.0306510,Dollar Menu
12,Arby's #164,ARG Co.,7/9/1997,3417,Forbes Ave,15213,40.4391750,-79.9607090,Dollar Menu
13,Arby's #836,ARG Co.,6/17/1984,1140,Washington Pike,15017,40.3679000,-80.1031720,Dollar Menu
14,Arby's #1203,ARG Co.,7/9/1997,2251,Noblestown Rd,15205,40.4285090,-80.0531000,Dollar Menu
15,Arby's #1414,ARG Co.,7/9/1997,6192,Steubenville Pike,15136,40.4458080,-80.1506310,Dollar Menu
16,Arby's #1691,ARG Co.,7/10/1997,5030,Wm Flynn Hwy,15044,40.6068090,-79.9467190,Dollar Menu
17,Arby's #1773,Arby's Restaurant Group,1/15/2016,19075,Perry Hwy,16046,40.6225913,-80.0533722,Dollar Menu
