stname,tractfips,"estimated smoking prevalence, 2006-2010"
Pennsylvania,42001030101,0.23167745
Pennsylvania,42001030102,0.235425199
Pennsylvania,42001030200,0.249149487
Pennsylvania,42001030300,0.251571972
Pennsylvania,42001030400,0.241008475
Pennsylvania,42001030500,0.234407492
Pennsylvania,42001030600,0.211318918
Pennsylvania,42001030700,0.245880939
Pennsylvania,42001030800,0.243831106
Pennsylvania,42001030900,0.224891768
Pennsylvania,42001031000,0.220784892
Pennsylvania,42001031101,0.223600707
Pennsylvania,42001031102,0.226481862
Pennsylvania,42001031201,0.211427845
Pennsylvania,42001031202,0.240405454
Pennsylvania,42001031203,0.21760507
Pennsylvania,42001031300,0.227763091
Pennsylvania,42001031401,0.177886806
Pennsylvania,42001031402,0.183181235
Pennsylvania,42001031501,0.180002622
Pennsylvania,42001031502,0.203866715
Pennsylvania,42001031600,0.217074978
Pennsylvania,42001031700,0.229830469
Pennsylvania,42003010300,0.343375298
Pennsylvania,42003020100,0.15676733
Pennsylvania,42003020300,0.237874049
Pennsylvania,42003030500,0.174870746
Pennsylvania,42003040200,0.235755133
Pennsylvania,42003040300,0.068005885
Pennsylvania,42003040400,0.200102421
Pennsylvania,42003040500,0.257743881
Pennsylvania,42003040600,0.282866638
Pennsylvania,42003040900,0.23453292
Pennsylvania,42003050100,0.189398411
Pennsylvania,42003050600,0.184242896
Pennsylvania,42003050700,0.240901309
Pennsylvania,42003050900,0.226597697
Pennsylvania,42003051000,0.158726243
Pennsylvania,42003051100,0.3809667
Pennsylvania,42003060300,0.256740905
Pennsylvania,42003060500,0.278681685
Pennsylvania,42003070300,0.165556208
Pennsylvania,42003070500,0.213456346
Pennsylvania,42003070600,0.160101435
Pennsylvania,42003070800,0.197980798
Pennsylvania,42003070900,0.276055319
Pennsylvania,42003080200,0.259129579
Pennsylvania,42003080400,0.247402269
Pennsylvania,42003080600,0.233433301
Pennsylvania,42003080700,0.230924711
Pennsylvania,42003080900,0.226587779
Pennsylvania,42003090100,0.251807937
Pennsylvania,42003090200,0.243215069
Pennsylvania,42003090300,0.273058853
Pennsylvania,42003100500,0.219577888
Pennsylvania,42003101100,0.298758077
Pennsylvania,42003101400,0.253369472
Pennsylvania,42003101600,0.178440824
Pennsylvania,42003101700,0.181730204
Pennsylvania,42003101800,0.233623857
Pennsylvania,42003110200,0.224398618
Pennsylvania,42003110600,0.196113113
Pennsylvania,42003111300,0.221060883
Pennsylvania,42003111400,0.195029071
Pennsylvania,42003111500,0.195856832
Pennsylvania,42003120100,0.184399433
Pennsylvania,42003120200,0.172266035
Pennsylvania,42003120300,0.19268241
Pennsylvania,42003120400,0.197906395
Pennsylvania,42003120700,0.173046493
Pennsylvania,42003120800,0.157920369
Pennsylvania,42003130100,0.196727011
Pennsylvania,42003130200,0.197451001
Pennsylvania,42003130300,0.19170131
Pennsylvania,42003130400,0.201885951
Pennsylvania,42003130600,0.193682949
Pennsylvania,42003140100,0.123241813
Pennsylvania,42003140200,0.162029511
Pennsylvania,42003140300,0.143883035
Pennsylvania,42003140400,0.13305656
Pennsylvania,42003140500,0.220032835
Pennsylvania,42003140600,0.178304929
Pennsylvania,42003140800,0.155415594
Pennsylvania,42003141000,0.14391321
Pennsylvania,42003141100,0.204022987
Pennsylvania,42003141300,0.164805411
Pennsylvania,42003141400,0.170903582
Pennsylvania,42003150100,0.284309386
Pennsylvania,42003150400,0.232527919
Pennsylvania,42003151500,0.248860308
Pennsylvania,42003151600,0.266206419
Pennsylvania,42003151700,0.220040394
Pennsylvania,42003160300,0.297771931
Pennsylvania,42003160400,0.353760188
Pennsylvania,42003160600,0.278990195
Pennsylvania,42003160700,0.282372546
Pennsylvania,42003160800,0.291332117
Pennsylvania,42003160900,0.240030619
Pennsylvania,42003170200,0.244226842
Pennsylvania,42003170600,0.262586111
Pennsylvania,42003180300,0.297247688
Pennsylvania,42003180600,0.254463928
Pennsylvania,42003180700,0.272336876
Pennsylvania,42003180900,0.180846039
Pennsylvania,42003190300,0.228868978
Pennsylvania,42003191100,0.234126366
Pennsylvania,42003191400,0.26207105
Pennsylvania,42003191500,0.277551241
Pennsylvania,42003191600,0.286362544
